´«¸ÐÆ÷Î»ÖÃ,0GTA32CRH101_PV,0GTA32CT101_PV,0GTA32CP101_PV
2026-03-21 02:04,93.1,11.04,98.21
2026-03-21 02:05,92.8,10.94,98.21
2026-03-21 02:06,92.9,11.1,98.21
2026-03-21 02:07,92.8,11.13,98.21
2026-03-21 02:08,92.7,11.19,98.21
2026-03-21 02:09,92.5,11.18,98.22
2026-03-21 02:10,92.6,11.19,98.21
2026-03-21 02:11,92.6,11.25,98.21
2026-03-21 02:12,92.4,11.22,98.22
2026-03-21 02:13,92.8,11.26,98.22
2026-03-21 02:14,92.5,11.19,98.21
2026-03-21 02:15,92.5,11.24,98.22
2026-03-21 02:16,92.7,11.07,98.2
2026-03-21 02:17,92.6,11.14,98.22
2026-03-21 02:18,92.9,11.21,98.21
2026-03-21 02:19,92.9,10.74,98.21
2026-03-21 02:20,93.4,10.9,98.2
2026-03-21 02:21,93.3,11.04,98.21
2026-03-21 02:22,93,10.93,98.21
2026-03-21 02:23,92.9,11.11,98.21
2026-03-21 02:24,92.9,11.21,98.22
2026-03-21 02:25,93,11.03,98.21
2026-03-21 02:26,94.1,11.05,98.22
2026-03-21 02:27,93.8,11.08,98.21
2026-03-21 02:28,93.2,11.1,98.21
2026-03-21 02:29,93,11.14,98.22
2026-03-21 02:30,92.8,11.14,98.22
2026-03-21 02:31,92.7,11.15,98.22
2026-03-21 02:32,92.5,11.18,98.22
2026-03-21 02:33,92.5,11.28,98.22
2026-03-21 02:34,92.5,11.22,98.21
2026-03-21 02:35,92.5,11.07,98.21
2026-03-21 02:36,92.5,11.11,98.2
2026-03-21 02:37,92.7,11.22,98.2
2026-03-21 02:38,92.7,11.33,98.2
2026-03-21 02:39,92.5,11.33,98.21
2026-03-21 02:40,92.3,11.29,98.2
2026-03-21 02:41,92.3,11.33,98.2
2026-03-21 02:42,92,11.18,98.19
2026-03-21 02:43,92.5,11.07,98.19
2026-03-21 02:44,92.4,11.05,98.19
2026-03-21 02:45,92.6,11.19,98.19
2026-03-21 02:46,92.4,11.28,98.19
2026-03-21 02:47,92.6,11.26,98.19
2026-03-21 02:48,92.4,11.28,98.18
2026-03-21 02:49,92.2,11.35,98.19
2026-03-21 02:50,91.9,11.31,98.19
2026-03-21 02:51,92,11.21,98.18
2026-03-21 02:52,93,11.05,98.18
2026-03-21 02:53,93.2,11.01,98.18
2026-03-21 02:54,93.2,10.9,98.18
2026-03-21 02:55,93.2,11.03,98.19
2026-03-21 02:56,93.3,10.83,98.18
2026-03-21 02:57,93.3,10.93,98.19
2026-03-21 02:58,93.2,11.13,98.19
2026-03-21 02:59,93,11.19,98.18
2026-03-21 03:00,92.9,11.15,98.18
2026-03-21 03:01,92.8,11.11,98.17
2026-03-21 03:02,92.9,11.18,98.17
2026-03-21 03:03,92.9,11.18,98.16
2026-03-21 03:04,92.9,11.35,98.17
2026-03-21 03:05,93,10.86,98.17
2026-03-21 03:06,93.4,10.84,98.17
2026-03-21 03:07,94,10.93,98.17
2026-03-21 03:08,94.3,10.74,98.16
2026-03-21 03:09,94.9,10.67,98.16
2026-03-21 03:10,95.7,10.63,98.15
2026-03-21 03:11,95.6,10.6,98.15
2026-03-21 03:12,95.3,10.59,98.15
2026-03-21 03:13,95.4,10.58,98.15
2026-03-21 03:14,95.4,10.72,98.16
2026-03-21 03:15,94.9,10.48,98.17
2026-03-21 03:16,95.1,10.76,98.17
2026-03-21 03:17,94.6,10.8,98.16
2026-03-21 03:18,94.5,10.9,98.16
2026-03-21 03:19,94.2,11,98.16
2026-03-21 03:20,93.8,10.88,98.16
2026-03-21 03:21,93.5,10.84,98.17
2026-03-21 03:22,93.5,10.84,98.16
2026-03-21 03:23,93.6,10.8,98.16
2026-03-21 03:24,93.8,10.67,98.16
2026-03-21 03:25,94.2,10.69,98.15
2026-03-21 03:26,93.9,10.76,98.14
2026-03-21 03:27,93.8,10.77,98.13
2026-03-21 03:28,93.6,10.7,98.13
2026-03-21 03:29,94.2,10.84,98.13
2026-03-21 03:30,94,10.76,98.14
2026-03-21 03:31,93.6,10.77,98.16
2026-03-21 03:32,93.6,10.84,98.15
2026-03-21 03:33,93.2,10.87,98.15
2026-03-21 03:34,93.4,10.73,98.16
2026-03-21 03:35,93.2,10.79,98.15
2026-03-21 03:36,93.3,10.9,98.16
2026-03-21 03:37,93.3,10.91,98.17
2026-03-21 03:38,92.9,11.04,98.17
2026-03-21 03:39,92.9,10.96,98.17
2026-03-21 03:40,92.7,10.98,98.15
2026-03-21 03:41,92.8,10.94,98.15
2026-03-21 03:42,93.1,10.86,98.17
2026-03-21 03:43,93.2,11,98.16
2026-03-21 03:44,93.1,10.94,98.15
2026-03-21 03:45,92.9,10.97,98.16
2026-03-21 03:46,92.9,10.96,98.18
2026-03-21 03:47,92.8,11,98.16
2026-03-21 03:48,92.5,10.98,98.16
2026-03-21 03:49,92.8,10.98,98.16
2026-03-21 03:50,92.7,10.9,98.16
2026-03-21 03:51,92.9,10.9,98.16
2026-03-21 03:52,93.1,11.05,98.17
2026-03-21 03:53,92.8,11.03,98.16
2026-03-21 03:54,92.6,11,98.17
2026-03-21 03:55,92.7,11.05,98.17
2026-03-21 03:56,92.4,10.87,98.16
2026-03-21 03:57,92.3,10.96,98.16
2026-03-21 03:58,92.4,11.03,98.17
2026-03-21 03:59,92.4,11.01,98.16
2026-03-21 04:00,92.3,11.03,98.17
2026-03-21 04:01,92.8,10.87,98.17
2026-03-21 04:02,92.9,10.9,98.18
2026-03-21 04:03,92.9,11.08,98.18
2026-03-21 04:04,92.8,10.94,98.19
2026-03-21 04:05,92.9,10.9,98.19
2026-03-21 04:06,93,10.91,98.19
2026-03-21 04:07,92.8,11.03,98.18
2026-03-21 04:08,92.7,11.03,98.18
2026-03-21 04:09,92.8,11.03,98.18
2026-03-21 04:10,92.8,10.93,98.19
2026-03-21 04:11,93,11.1,98.19
2026-03-21 04:12,92.9,11.03,98.18
2026-03-21 04:13,92.7,11.05,98.19
2026-03-21 04:14,92.7,11.22,98.19
2026-03-21 04:15,92.5,11.03,98.19
2026-03-21 04:16,92.5,11.15,98.19
2026-03-21 04:17,92.4,11.18,98.18
2026-03-21 04:18,92.4,11.07,98.18
2026-03-21 04:19,92.5,11.05,98.19
2026-03-21 04:20,92.7,10.97,98.19
2026-03-21 04:21,92.9,11.11,98.19
2026-03-21 04:22,92.6,10.96,98.18
2026-03-21 04:23,92.7,11.05,98.19
2026-03-21 04:24,92.6,11.1,98.18
2026-03-21 04:25,92.5,11,98.18
2026-03-21 04:26,92.5,11.15,98.18
2026-03-21 04:27,92.7,11.14,98.17
2026-03-21 04:28,92.7,11.11,98.17
2026-03-21 04:29,92.7,11.03,98.18
2026-03-21 04:30,93.4,10.84,98.17
2026-03-21 04:31,93.6,10.8,98.18
2026-03-21 04:32,93.9,11.04,98.18
2026-03-21 04:33,93.6,10.88,98.18
2026-03-21 04:34,94.5,10.62,98.18
2026-03-21 04:35,94.5,10.62,98.18
2026-03-21 04:36,94.6,10.69,98.18
2026-03-21 04:37,94.7,10.76,98.17
2026-03-21 04:38,94.3,10.76,98.17
2026-03-21 04:39,94.4,10.87,98.17
2026-03-21 04:40,94.1,10.79,98.17
2026-03-21 04:41,94.5,10.63,98.18
2026-03-21 04:42,94.4,10.41,98.18
2026-03-21 04:43,94.6,10.34,98.17
2026-03-21 04:44,95.3,10.45,98.17
2026-03-21 04:45,95.7,10.46,98.17
2026-03-21 04:46,95.4,10.29,98.17
2026-03-21 04:47,95.3,10.35,98.18
2026-03-21 04:48,95.4,10.53,98.17
2026-03-21 04:49,95.2,10.55,98.18
2026-03-21 04:50,94.8,10.59,98.17
2026-03-21 04:51,94.6,10.53,98.17
2026-03-21 04:52,94.9,10.48,98.18
2026-03-21 04:53,94.9,10.53,98.18
2026-03-21 04:54,94.7,10.59,98.19
2026-03-21 04:55,94.5,10.6,98.19
2026-03-21 04:56,94.2,10.69,98.19
2026-03-21 04:57,94.1,10.77,98.2
2026-03-21 04:58,94.1,10.69,98.2
2026-03-21 04:59,93.9,10.86,98.19
2026-03-21 05:00,93.9,10.87,98.2
2026-03-21 05:01,93.8,10.88,98.2
2026-03-21 05:02,93.7,10.86,98.2
2026-03-21 05:03,93.4,10.91,98.2
2026-03-21 05:04,93.2,10.86,98.19
2026-03-21 05:05,93.2,10.79,98.2
2026-03-21 05:06,93.3,10.86,98.2
2026-03-21 05:07,93.3,10.69,98.19
2026-03-21 05:08,93.9,10.69,98.19
2026-03-21 05:09,94,10.73,98.19
2026-03-21 05:10,93.6,10.87,98.19
2026-03-21 05:11,93.6,10.83,98.19
2026-03-21 05:12,93.4,10.74,98.19
2026-03-21 05:13,94,10.76,98.19
2026-03-21 05:14,93.7,10.67,98.18
2026-03-21 05:15,93.7,10.58,98.19
2026-03-21 05:16,93.6,10.69,98.19
2026-03-21 05:17,93.8,10.76,98.19
2026-03-21 05:18,94,10.7,98.18
2026-03-21 05:19,94.2,10.64,98.19
2026-03-21 05:20,94.3,10.49,98.19
2026-03-21 05:21,94.2,10.42,98.18
2026-03-21 05:22,94.6,10.38,98.18
2026-03-21 05:23,95,10.42,98.18
2026-03-21 05:24,95.2,10.34,98.18
2026-03-21 05:25,95.5,10.41,98.19
2026-03-21 05:26,95,10.32,98.19
2026-03-21 05:27,95.2,10.22,98.19
2026-03-21 05:28,95.1,10.22,98.19
2026-03-21 05:29,95.3,10.22,98.19
2026-03-21 05:30,95.6,10.42,98.19
2026-03-21 05:31,95.3,10.35,98.2
2026-03-21 05:32,95,10.27,98.2
2026-03-21 05:33,94.9,10.31,98.21
2026-03-21 05:34,95.1,10.21,98.2
2026-03-21 05:35,95.2,10.44,98.2
2026-03-21 05:36,94.8,10.24,98.21
2026-03-21 05:37,94.7,10.32,98.21
2026-03-21 05:38,94.6,10.49,98.22
2026-03-21 05:39,94.4,10.52,98.22
2026-03-21 05:40,94.3,10.58,98.23
2026-03-21 05:41,94.3,10.63,98.23
2026-03-21 05:42,94,10.63,98.22
2026-03-21 05:43,94,10.73,98.23
2026-03-21 05:44,94.2,10.6,98.23
2026-03-21 05:45,94.9,10.59,98.23
2026-03-21 05:46,94.6,10.66,98.22
2026-03-21 05:47,94.3,10.66,98.22
2026-03-21 05:48,94.2,10.6,98.22
2026-03-21 05:49,94.2,10.72,98.21
2026-03-21 05:50,94.5,10.49,98.22
2026-03-21 05:51,94.6,10.59,98.21
2026-03-21 05:52,94.4,10.79,98.22
2026-03-21 05:53,94,10.77,98.22
2026-03-21 05:54,94,10.79,98.23
2026-03-21 05:55,93.7,10.76,98.23
2026-03-21 05:56,93.6,10.8,98.23
2026-03-21 05:57,93.5,10.87,98.23
2026-03-21 05:58,93.4,10.84,98.23
2026-03-21 05:59,93.2,10.96,98.23
2026-03-21 06:00,93.1,10.98,98.22
2026-03-21 06:01,93,11.05,98.23
2026-03-21 06:02,92.8,10.97,98.22
2026-03-21 06:03,92.8,11.13,98.23
2026-03-21 06:04,92.6,11.21,98.22
2026-03-21 06:05,92.3,11.04,98.21
2026-03-21 06:06,92.7,10.96,98.22
2026-03-21 06:07,92.7,10.96,98.22
2026-03-21 06:08,92.6,11.04,98.22
2026-03-21 06:09,93.3,10.74,98.21
2026-03-21 06:10,93.7,10.62,98.22
2026-03-21 06:11,94.1,10.62,98.22
2026-03-21 06:12,93.8,10.8,98.22
2026-03-21 06:13,93.6,10.8,98.21
2026-03-21 06:14,93.4,10.91,98.22
2026-03-21 06:15,93.2,10.86,98.21
2026-03-21 06:16,93.2,10.88,98.21
2026-03-21 06:17,93.1,10.76,98.2
2026-03-21 06:18,93.7,10.8,98.21
2026-03-21 06:19,93.6,10.88,98.2
2026-03-21 06:20,93.4,10.88,98.21
2026-03-21 06:21,93.1,10.87,98.21
2026-03-21 06:22,93.3,10.8,98.2
2026-03-21 06:23,93.7,10.59,98.21
2026-03-21 06:24,93.8,10.77,98.2
2026-03-21 06:25,93.8,10.8,98.21
2026-03-21 06:26,93.4,10.79,98.21
2026-03-21 06:27,93.5,10.84,98.2
2026-03-21 06:28,93.6,10.87,98.22
2026-03-21 06:29,93.4,10.97,98.22
2026-03-21 06:30,93.2,10.84,98.22
2026-03-21 06:31,93.5,10.67,98.22
2026-03-21 06:32,93.9,10.59,98.22
2026-03-21 06:33,94.1,10.66,98.22
2026-03-21 06:34,94,10.58,98.23
2026-03-21 06:35,94.4,10.45,98.23
2026-03-21 06:36,94.9,10.39,98.23
2026-03-21 06:37,94.8,10.53,98.23
2026-03-21 06:38,94.8,10.66,98.24
2026-03-21 06:39,94.4,10.69,98.22
2026-03-21 06:40,94,10.67,98.24
2026-03-21 06:41,94,10.76,98.23
2026-03-21 06:42,93.9,10.87,98.23
2026-03-21 06:43,93.8,10.84,98.24
2026-03-21 06:44,93.5,10.84,98.24
2026-03-21 06:45,93.6,10.93,98.23
2026-03-21 06:46,93.5,10.93,98.24
2026-03-21 06:47,93.5,11.01,98.24
2026-03-21 06:48,93.4,11.05,98.25
2026-03-21 06:49,93.4,11.03,98.24
2026-03-21 06:50,93.4,10.9,98.25
2026-03-21 06:51,93.4,10.93,98.25
2026-03-21 06:52,93.2,11.03,98.26
2026-03-21 06:53,93.4,11.03,98.26
2026-03-21 06:54,93.4,11.13,98.25
2026-03-21 06:55,93.1,11.03,98.26
2026-03-21 06:56,93.5,10.93,98.25
2026-03-21 06:57,93.6,10.87,98.26
2026-03-21 06:58,93.9,10.72,98.26
2026-03-21 06:59,93.8,10.86,98.25
2026-03-21 07:00,93.7,10.8,98.26
2026-03-21 07:01,93.7,10.76,98.27
2026-03-21 07:02,93.7,10.77,98.28
2026-03-21 07:03,93.5,10.94,98.27
2026-03-21 07:04,93.5,10.98,98.26
2026-03-21 07:05,93.4,10.88,98.27
2026-03-21 07:06,93.5,11.04,98.27
2026-03-21 07:07,93.3,10.98,98.27
2026-03-21 07:08,93.1,11.03,98.27
2026-03-21 07:09,93,10.98,98.27
2026-03-21 07:10,93,11.1,98.27
2026-03-21 07:11,93.1,10.9,98.28
2026-03-21 07:12,93.1,10.86,98.28
2026-03-21 07:13,93,11.03,98.29
2026-03-21 07:14,92.9,11.07,98.27
2026-03-21 07:15,92.8,11.05,98.28
2026-03-21 07:16,93,11,98.28
2026-03-21 07:17,93.1,11.07,98.29
2026-03-21 07:18,92.8,11,98.28
2026-03-21 07:19,93,11.04,98.29
2026-03-21 07:20,92.9,11.17,98.28
2026-03-21 07:21,92.8,11.07,98.28
2026-03-21 07:22,92.9,11.14,98.29
2026-03-21 07:23,92.9,11.11,98.28
2026-03-21 07:24,92.7,11.21,98.28
2026-03-21 07:25,92.6,11.29,98.28
2026-03-21 07:26,92.6,11.13,98.28
2026-03-21 07:27,93.6,10.88,98.28
2026-03-21 07:28,94.3,10.52,98.28
2026-03-21 07:29,95,10.42,98.28
2026-03-21 07:30,95.3,10.38,98.28
2026-03-21 07:31,95.6,10.48,98.28
2026-03-21 07:32,95.4,10.6,98.29
2026-03-21 07:33,95.1,10.7,98.29
2026-03-21 07:34,94.9,10.76,98.29
2026-03-21 07:35,94.8,10.93,98.3
2026-03-21 07:36,94.5,10.88,98.3
2026-03-21 07:37,94.3,10.73,98.3
2026-03-21 07:38,94.4,10.74,98.3
2026-03-21 07:39,94.3,10.96,98.31
2026-03-21 07:40,94.3,11.01,98.3
2026-03-21 07:41,94,10.97,98.31
2026-03-21 07:42,93.8,11.11,98.3
2026-03-21 07:43,93.5,11.04,98.3
2026-03-21 07:44,93.4,11.05,98.3
2026-03-21 07:45,93.5,11.15,98.3
2026-03-21 07:46,93.4,11,98.3
2026-03-21 07:47,93.3,11.15,98.3
2026-03-21 07:48,93.2,11.24,98.32
2026-03-21 07:49,93,11.22,98.31
2026-03-21 07:50,92.6,11.24,98.31
2026-03-21 07:51,92.8,11.21,98.3
2026-03-21 07:52,92.6,11.29,98.3
2026-03-21 07:53,92.8,11.42,98.31
2026-03-21 07:54,92.7,11.47,98.31
2026-03-21 07:55,92.6,11.24,98.31
2026-03-21 07:56,92.6,11.24,98.31
2026-03-21 07:57,92.3,11.18,98.3
2026-03-21 07:58,92.6,11.19,98.31
2026-03-21 07:59,92.7,11.25,98.31
2026-03-21 08:00,92.6,11.32,98.31
2026-03-21 08:01,92.3,11.35,98.31
2026-03-21 08:02,92.3,11.36,98.31
2026-03-21 08:03,92,11.46,98.32
2026-03-21 08:04,92,11.42,98.32
2026-03-21 08:05,92,11.28,98.32
2026-03-21 08:06,92.5,11.39,98.32
2026-03-21 08:07,92.5,11.47,98.33
2026-03-21 08:08,92.4,11.13,98.32
2026-03-21 08:09,93.1,11.18,98.32
2026-03-21 08:10,93.2,11.24,98.33
2026-03-21 08:11,93.1,11.29,98.32
2026-03-21 08:12,92.8,11.26,98.32
2026-03-21 08:13,92.5,11.29,98.32
2026-03-21 08:14,92.6,11.45,98.33
2026-03-21 08:15,92.6,11.52,98.33
2026-03-21 08:16,92.5,11.6,98.33
2026-03-21 08:17,92.4,11.73,98.33
2026-03-21 08:18,92.1,11.46,98.33
2026-03-21 08:19,92.1,11.55,98.33
2026-03-21 08:20,92.1,11.59,98.33
2026-03-21 08:21,92,11.52,98.33
2026-03-21 08:22,91.9,11.66,98.33
2026-03-21 08:23,91.7,11.55,98.33
2026-03-21 08:24,91.6,11.47,98.34
2026-03-21 08:25,91.7,11.6,98.33
2026-03-21 08:26,92,11.47,98.33
2026-03-21 08:27,92.5,11.56,98.34
2026-03-21 08:28,92.1,11.6,98.33
2026-03-21 08:29,92.1,11.63,98.34
2026-03-21 08:30,92.2,11.65,98.33
2026-03-21 08:31,91.9,11.6,98.33
2026-03-21 08:32,91.7,11.76,98.34
2026-03-21 08:33,91.6,11.81,98.33
2026-03-21 08:34,91.4,11.8,98.34
2026-03-21 08:35,91.2,11.83,98.34
2026-03-21 08:36,92,11.59,98.34
2026-03-21 08:37,92.5,11.56,98.34
2026-03-21 08:38,92.6,11.52,98.34
2026-03-21 08:39,92.2,11.62,98.34
2026-03-21 08:40,92.1,11.74,98.35
2026-03-21 08:41,91.9,11.76,98.34
2026-03-21 08:42,91.7,11.77,98.34
2026-03-21 08:43,91.9,11.73,98.34
2026-03-21 08:44,91.7,11.78,98.35
2026-03-21 08:45,91.5,11.73,98.35
2026-03-21 08:46,91.4,11.84,98.35
2026-03-21 08:47,91,11.85,98.36
2026-03-21 08:48,91.1,11.95,98.35
2026-03-21 08:49,90.8,11.97,98.35
2026-03-21 08:50,90.6,11.98,98.36
2026-03-21 08:51,90.4,12.09,98.36
2026-03-21 08:52,90.4,12.08,98.35
2026-03-21 08:53,90.2,12.14,98.34
2026-03-21 08:54,90.2,12.25,98.35
2026-03-21 08:55,90.1,12.14,98.34
2026-03-21 08:56,89.8,12.21,98.35
2026-03-21 08:57,89.6,12.14,98.35
2026-03-21 08:58,89.5,12.32,98.35
2026-03-21 08:59,89.2,12.28,98.34
2026-03-21 09:00,89.3,12.37,98.35
2026-03-21 09:01,89,12.49,98.35
2026-03-21 09:02,89.3,12.57,98.35
2026-03-21 09:03,88.9,12.66,98.35
2026-03-21 09:04,89,12.71,98.35
2026-03-21 09:05,88.9,12.87,98.35
2026-03-21 09:06,87.8,12.8,98.35
2026-03-21 09:07,87.9,12.78,98.35
2026-03-21 09:08,87.4,12.77,98.35
2026-03-21 09:09,87.1,13.04,98.34
2026-03-21 09:10,87,13.22,98.35
2026-03-21 09:11,87.1,12.94,98.35
2026-03-21 09:12,87,12.83,98.34
2026-03-21 09:13,86.9,13.04,98.35
2026-03-21 09:14,86.6,13.21,98.35
2026-03-21 09:15,87.1,12.99,98.34
2026-03-21 09:16,86.9,13.19,98.35
2026-03-21 09:17,87.4,13.12,98.34
2026-03-21 09:18,87.4,12.96,98.34
2026-03-21 09:19,87.2,13.05,98.33
2026-03-21 09:20,87.1,13.19,98.34
2026-03-21 09:21,86.5,13.3,98.34
2026-03-21 09:22,86.1,13.3,98.34
2026-03-21 09:23,85.7,13.33,98.34
2026-03-21 09:24,85.7,13.42,98.34
2026-03-21 09:25,86.5,13.08,98.34
2026-03-21 09:26,87.1,12.87,98.33
2026-03-21 09:27,87,13.12,98.34
2026-03-21 09:28,86.3,12.98,98.33
2026-03-21 09:29,87.5,12.92,98.33
2026-03-21 09:30,87,13.01,98.33
2026-03-21 09:31,86.8,13.01,98.33
2026-03-21 09:32,87.4,13.01,98.33
2026-03-21 09:33,86.9,12.91,98.34
2026-03-21 09:34,87,13.05,98.33
2026-03-21 09:35,86.8,12.98,98.34
2026-03-21 09:36,87.8,12.95,98.33
2026-03-21 09:37,86.8,12.96,98.34
2026-03-21 09:38,86.8,12.87,98.35
2026-03-21 09:39,87,12.91,98.35
2026-03-21 09:40,86.6,12.95,98.34
2026-03-21 09:41,86.9,12.85,98.35
2026-03-21 09:42,87.3,12.92,98.34
2026-03-21 09:43,86.6,12.94,98.35
2026-03-21 09:44,86.8,13.06,98.34
2026-03-21 09:45,86.7,12.66,98.35
2026-03-21 09:46,87.6,12.67,98.35
2026-03-21 09:47,87.5,12.78,98.34
2026-03-21 09:48,87.2,12.78,98.36
2026-03-21 09:49,87.7,12.87,98.36
2026-03-21 09:50,87.3,12.95,98.36
2026-03-21 09:51,87,12.9,98.36
2026-03-21 09:52,86.7,12.87,98.36
2026-03-21 09:53,86.7,12.85,98.36
2026-03-21 09:54,86.9,12.8,98.36
2026-03-21 09:55,87,12.92,98.37
2026-03-21 09:56,86.8,12.83,98.37
2026-03-21 09:57,87.4,12.61,98.37
2026-03-21 09:58,88,12.68,98.37
2026-03-21 09:59,87.8,12.74,98.37
2026-03-21 10:00,87.3,12.78,98.36
2026-03-21 10:01,87.4,12.91,98.37
2026-03-21 10:02,87.2,12.94,98.36
2026-03-21 10:03,87.2,12.8,98.37
2026-03-21 10:04,87.3,12.53,98.36
2026-03-21 10:05,88.4,12.39,98.36
2026-03-21 10:06,88.5,12.5,98.36
2026-03-21 10:07,88.7,12.67,98.37
2026-03-21 10:08,88,12.52,98.37
2026-03-21 10:09,88.9,12.4,98.36
